Nombre del Programa,Tipo de Programa,Escuela,Campus,Duración,Periodo,Plan de Estudios
IRS-Ingeniería en Robótica y Sistemas Digitales,Carrera profesional,Ingeniería y Ciencias,Querétaro; Puebla; Ciudad de México; Estado de México; Guadalajara; Monterrey,8 semestres,Semestral,o
ITC-Ingeniería en Tecnologías Computacionales,Carrera profesional,Ingeniería y Ciencias,Querétaro; Toluca; Puebla; Chihuahua; Cuernavaca; Guadalajara; Ciudad de México; Estado de México; Sonora Norte; Santa Fe; Monterrey,8 semestres,Semestral,o
ITD-Ingeniería en Transformación Digital de Negocios,Carrera profesional,Ingeniería y Ciencias,Santa Fe; Monterrey,8 semestres,Semestral,o
IE-Ingeniería en Electrónica,Carrera profesional,Ingeniería y Ciencias,Monterrey,8 semestres,Semestral,o
IID-Ingeniería en Innovación y Desarrollo,Carrera profesional,Ingeniería y Ciencias,Guadalajara; Santa Fe; Monterrey,8 semestres,Semestral,o
IIS-Ingeniería Industrial y de Sistemas,Carrera profesional,Ingeniería y Ciencias,Chihuahua; Laguna; Saltillo; Tampico; Hidalgo; León; Querétaro; San Luis Potosí; Toluca; Puebla; Ciudad de México; Estado de México; Cuernavaca; Guadalajara; Sinaloa; Sonora Norte; Aguascalientes; Santa Fe; Monterrey; Ciudad Juárez,8 semestres,Semestral,o
IM-Ingeniería Mecánica,Carrera profesional,Ingeniería y Ciencias,Chihuahua; Querétaro; Toluca; Puebla; Ciudad de México; Estado de México; Guadalajara; Santa Fe; Monterrey,8 semestres,Semestral,o
IMD-Ingeniería Biomédica,Carrera profesional,Ingeniería y Ciencias,Ciudad de México; Guadalajara; Monterrey,8 semestres,Semestral,o
IMT-Ingeniería en Mecatrónica,Carrera profesional,Ingeniería y Ciencias,Chihuahua; Laguna; Saltillo; Tampico; León; Querétaro; San Luis Potosí; Toluca; Puebla; Ciudad de México; Estado de México; Cuernavaca; Guadalajara; Sonora Norte; Aguascalientes; Santa Fe; Morelia; Monterrey; Ciudad Juárez,8 semestres,Semestral,o
LAET-Licenciatura en Estrategia y Transformación de Negocios,Carrera profesional,Negocios,Chihuahua; Laguna; Saltillo; Tampico; Hidalgo; León; Querétaro; San Luis Potosí; Toluca; Puebla; Ciudad de México; Estado de México; Cuernavaca; Guadalajara; Sinaloa; Sonora Norte; Aguascalientes; Santa Fe; Morelia; Monterrey; Ciudad Juárez,8 semestres,Semestral,o
LAF-Licenciatura en Finanzas,Carrera profesional,Negocios,Chihuahua; Laguna; León; Querétaro; San Luis Potosí; Puebla; Ciudad de México; Estado de México; Cuernavaca; Guadalajara; Sinaloa; Sonora Norte; Aguascalientes; Santa Fe; Monterrey,8 semestres,Semestral,o
LCPF-Licenciatura en Contaduría Pública y Finanzas,Carrera profesional,Negocios,Hidalgo; Querétaro; Puebla; Toluca; Ciudad de México; Estado de México; Guadalajara; Santa Fe; Monterrey,8 semestres,Semestral,o
LDE-Licenciatura en Emprendimiento,Carrera profesional,Negocios,Querétaro; Puebla; Ciudad de México; Guadalajara; Santa Fe; Monterrey,8 semestres,Semestral,o
LDO-Licenciatura en Desarrollo de Talento y Cultura Organizacional,Carrera profesional,Negocios,Estado de México; Monterrey,8 semestres,Semestral,o
LEM-Licenciatura en Mercadotecnia,Carrera profesional,Negocios,León; Querétaro; Toluca; Puebla; Ciudad de México; Estado de México; Guadalajara; Sinaloa; Sonora Norte; Santa Fe; Monterrey,8 semestres,Semestral,o
LIN-Licenciatura en Negocios Internacionales,Carrera profesional,Negocios,Aguascalientes; Chihuahua; Laguna; Morelia; Ciudad Juárez; Saltillo; Tampico; León; San Luis Potosí; Estado de México; Sinaloa; Sonora Norte,8 semestres,Semestral,o
LIT-Licenciatura en Inteligencia de Negocios,Carrera profesional,Negocios,Querétaro; Puebla; Estado de México; Guadalajara; Santa Fe; Monterrey,8 semestres,Semestral,o
LBC-Licenciatura en Biociencias,Carrera profesional,Salud,Ciudad de México; Guadalajara; Monterrey y Chihuahua hasta tercer semestre,8 semestres,Semestral,o
LNB-Licenciatura en Nutrición y Bienestar Integral,Carrera profesional,Salud,Ciudad de México; Guadalajara; Monterrey y Chihuahua hasta tercer semestre,6 semestres y 4 Trimestres Clínicos,Mixto,o
LPS-Licenciatura en Psicología Clínica y de la Salud,Carrera profesional,Salud,Ciudad de México; Guadalajara; Monterrey y Chihuahua hasta tercer semestre,6 semestres y 4 Trimestres Clínicos,Mixto,o
MC-Médico Cirujano,Carrera profesional,Salud,Ciudad de México; Guadalajara; Monterrey y Chihuahua hasta tercer semestre,8 semestres y 8 Trimestres Clínicos,Mixto,o
MO-Médico Cirujano Odontólogo,Carrera profesional,Salud,Ciudad de México; Guadalajara; Monterrey y Chihuahua hasta tercer semestre,8 semestres y 4 Trimestres Clínicos,Mixto,o
Maestría en Ciencias con especialidad en Biotecnología (MBI),Maestría,Escuela de Ingeniería y Ciencias,Campus Monterrey,2 años ,Semestral ,o
Maestría en Nanotecnología (MNT),Maestría,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Estado de México,2 años,Semestral ,o
Maestría en Administración de la Energía y sus Fuentes Renovables (MER-V),Maestría,Escuela de Ingeniería y Ciencias,En línea,2 años ,Trimestral ,o
Maestría en Innovación para el Desarrollo Empresarial (MID-V),Maestría,Escuela de Ingeniería y Ciencias,En línea,2 años,Trimestral ,o
Maestría en Ingeniería con especialidad en Sistemas de Calidad y Productividad (MIP-V),Maestría,Escuela de Ingeniería y Ciencias,En línea,2 años,Trimestral ,o
Maestría en Ciencias con especialidad en Sistemas de Manufactura (MSM),Maestría,Escuela de Ingeniería y Ciencias,Campus Monterrey,2 años,Semestral ,o
Maestría en Administración de Tecnologías de Información (MTI-V),Maestría,Escuela de Ingeniería y Ciencias,En línea,2 años,Trimestral ,o
Maestría en Ciencias Computacionales (MCC-I),Maestría,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Estado de México,2 años,Semestral ,o
Maestría en Gestión de la Ingeniería (MEM),Maestría,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Santa Fe; Campus Guadalajara; Campus Estado de México,5 trimestres,Trimestral ,o
Maestría en Ciencias de la Ingeniería (MCI),Maestría,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Estado de México,2 años,Semestral ,o
Maestría en Ciberseguridad (MCY-M),Maestría,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Santa Fe; Campus Guadalajara,5 trimestres,Trimestral ,o
Maestría en Inteligencia Artificial Aplicada (MNA-V),Maestría,Escuela de Ingeniería y Ciencias,En línea,7 trimestres ,Trimestral ,o
Maestría en Prospectiva Estratégica (MPE),Maestría,Escuela de Gobierno y Transformación Pública,Campus Monterrey; Campus Santa Fe,2 años,Trimestral,o
Maestría en Administración Pública y Política Pública (MAP),Maestría,Escuela de Gobierno y Transformación Pública,Campus Monterrey; Campus Santa Fe,2 años,Trimestral,o
Maestría en Gestión Pública Aplicada (MGP-V),Maestría,Escuela de Gobierno y Transformación Pública,En línea,2 años,Trimestral,o
Maestría en Economía Aplicada (MEK),Maestría,Escuela de Gobierno y Transformación Pública,Campus Monterrey; Campus Santa Fe,21 meses,Trimestral,o
Maestría en Gobierno y Transformación Pública (MGT),Maestría,Escuela de Gobierno y Transformación Pública,Campus Santa Fe,7 trimestres,Trimestral,o
Maestría en Derecho (MDP),Maestría,Escuela de Gobierno y Transformación Pública,Campus Santa Fe,7 trimestres,Trimestral,o
Maestría en Derecho (MDP-V),Maestría,Escuela de Gobierno y Transformación Pública,En línea,7 trimestres,Trimestral,o
Maestría en Administración Pública y Política Pública (MAP - V),Maestría,Escuela de Gobierno y Transformación Pública,En línea,7 trimestres,Trimestral,o
Maestría en Economía Aplicada (MEK V),Maestría,Escuela de Gobierno y Transformación Pública,En línea,7 trimestres,Trimestral,o
Maestría en Prospectiva Estratégica (MPE-V),Maestría,Escuela de Gobierno y Transformación Pública,En línea,7 trimestres,Trimestral,o
Maestría en Educación (MEE-V),Maestría,Escuela de Humanidades y Educación,En línea,2.5 años,Semestral,o
Maestría en Estudios Humanísticos (MEH),Maestría,Escuela de Humanidades y Educación,Campus Monterrey,2 años,Semestral,o
Maestría en Tecnología Educativa (MTE-V),Maestría,Escuela de Humanidades y Educación,En línea,5 semestres,Semestral,o
Maestría en Emprendimiento Educativo (MTO-V),Maestría,Escuela de Humanidades y Educación,En línea,2.5 años,Trimestral,o
Maestría en Humanidades Digitales (MHD-V),Maestría,Escuela de Humanidades y Educación,En línea,2 años,Trimestral,o
Maestría en Administración Empresarial (MGN-V),Maestría,Escuela de Negocios,En línea,2.5 años,Trimestral,o
Maestría en Ciencias Biomédicas (MBC),Maestría,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,2 años,Semestral,o
Maestría en Arquitectura y Diseño Urbano (MDU-M),Maestría,Escuela de Arquitectura y Diseño,Campus Monterrey; Campus Ciudad de México; Campus Guadalajara; Campus Querétaro,5 trimestres,Trimestral ,o
Maestría en Administración y Dirección de Empresas (tiempo parcial) (MBA),Maestría,EGADE Business School,Campus Monterrey; Campus Santa Fe; Campus Guadalajara; Campus Querétaro,2 años,Trimestral ,o
Maestría en Administración y Dirección de Empresas - Doble grado académico con University of North Carolina at Charlotte (MBA - G),Maestría,EGADE Business School,Campus Monterrey,2.5 años,Trimestral ,o
Maestría en Finanzas (MAF),Maestría,EGADE Business School,Campus Monterrey; Campus Santa Fe,2 años,Trimestral ,o
Maestría en Administración (MBM),Maestría,EGADE Business School,Campus Monterrey,1 año,Trimestral ,o
Maestría en Administración y Dirección de Empresas (tiempo completo) (MBA-I),Maestría,EGADE Business School,Campus Monterrey,1 año,Trimestral ,o
