Nombre del Programa,Tipo de Programa,Escuela,Campus,Duración,Periodo,Plan de Estudios
Formación Estratégica para Gerentes de Alto Desempeño,Diplomado,Posgrados y Educacion Continua,Live,100 horas,Mensual,o
Gestión Integral del Transporte,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual,o
Gestión Profesional de Proyectos,Diplomado,Posgrados y Educacion Continua,Aula Virtual,100 horas,Mensual,o
Gestión Profesional Ágil de Proyectos. Principios; Valores y Metodologías,Diplomado,Posgrados y Educacion Continua,Live,120 horas,Mensual,o
Gestión de la Seguridad de la Información,Diplomado,Posgrados y Educacion Continua,Aula Virtual,124 horas,Mensual,o
Gestión y Dirección Financiera,Diplomado,Posgrados y Educacion Continua,Live,100 horas,Mensual,o
Identificación; Rediseño e Innovación de Procesos,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual,o
Implementación de la Agenda Urbana Rumbo al 2030,Diplomado,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual,o
Innovación Educativa en Salud,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual,o
La Cadena de Suministro en la Era Digital,Diplomado,Posgrados y Educacion Continua,Live,130 horas,Mensual,o
La Empresa Familiar: Institucionalización y Continuidad,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual,o
Lean Manufacturing,Diplomado,Posgrados y Educacion Continua,Live,115 horas,Mensual,o
Los Impuestos en México; un Enfoque con Visión Financiera y Fiscal,Diplomado,Posgrados y Educacion Continua,Aula Virtual,104 horas,Mensual,o
Marketing Digital,Diplomado,Posgrados y Educacion Continua,Live,100 horas,Mensual,o
Mercadotecnia Estratégica y Comercialización,Diplomado,Posgrados y Educacion Continua,En línea,126 horas,Mensual,o
Mercadotecnia Farmacéutica,Diplomado,Posgrados y Educacion Continua,Aula Virtual,139 horas,Mensual,o
Normas Internacionales de Información Financiera (IFRS),Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual,o
Nutrición Funcional Aplicada a la Terapéutica del Sobrepeso y la Obesidad,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual,o
People Analytics,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual,o
Planeación y Evaluación de Negocios Inmobiliarios,Diplomado,Posgrados y Educacion Continua,Live,100 horas,Mensual,o
Salud Global para Líderes,Diplomado,Posgrados y Educacion Continua,Aula Virtual,94 horas,Mensual,o
Seguridad; Higiene Industrial y Salud Ocupacional,Diplomado,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual,o
Tecnologías de Ciberseguridad,Diplomado,Posgrados y Educacion Continua,Live,115 horas,Mensual,o
Top Management,Diplomado,Posgrados y Educacion Continua,Aula Virtual,135 horas,Mensual,o
Transformación Digital Gerencial,Diplomado,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual,o
Ventas de Alto Impacto,Diplomado,Posgrados y Educacion Continua,Presencial en Campus Guadalajara,104 horas,Mensual,o
e-commerce 4.0,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual,o
Administración de Proyectos,Seminario,Posgrados y Educacion Continua,En línea,10 horas,Mensual,o
Análisis de los Estados Financieros,Seminario,Posgrados y Educacion Continua,En línea,10 horas,Mensual,o
Conceptos Estratégicos de Mercadotecnia,Seminario,Posgrados y Educacion Continua,En línea,40 horas,Mensual,o
Conducción de Equipos de Alto Desempeño,Seminario,Posgrados y Educacion Continua,En línea,12 horas,Mensual,o
Desarrollo de Soft Skills Personales,Seminario,Posgrados y Educacion Continua,En línea,25 horas,Mensual,o
Desarrollo de Soft Skills Sociales,Seminario,Posgrados y Educacion Continua,En línea,25 horas,Mensual,o
Eficiencia en la Construcción,Seminario,Posgrados y Educacion Continua,En línea,50 horas,Mensual,o
Gestión Estratégica del Capital Humano,Seminario,Posgrados y Educacion Continua,En línea,12 horas,Mensual,o
Gestión de la Empresa Constructora,Seminario,Posgrados y Educacion Continua,En línea,50 horas,Mensual,o
Gestión de la Fuerza de Ventas,Seminario,Posgrados y Educacion Continua,En línea,12 horas,Mensual,o
Gestión de las Emociones,Seminario,Posgrados y Educacion Continua,En línea,11 horas,Mensual,o
Impuestos de las Operaciones Empresariales,Seminario,Posgrados y Educacion Continua,En línea,10 horas,Mensual,o
Innovación en la Construcción,Seminario,Posgrados y Educacion Continua,En línea,50 horas,Mensual,o
Integración Estratégica Multigeneracional,Seminario,Posgrados y Educacion Continua,En línea,30 horas,Mensual,o
Introducción a la Transformación Digital,Seminario,Posgrados y Educacion Continua,En línea,15 horas,Mensual,o
Introducción a las Finanzas,Seminario,Posgrados y Educacion Continua,En línea,60 horas,Mensual,o
Legislación Fiscal y Laboral en la Industria de la Construcción,Seminario,Posgrados y Educacion Continua,En línea,9 horas,Mensual,o
Liderazgo Eficaz,Seminario,Posgrados y Educacion Continua,En línea,10 horas,Mensual,o
Machine Learning para la Toma de Decisiones,Seminario,Posgrados y Educacion Continua,En línea,10 horas,Mensual,o
Negociación y Manejo de Conflictos,Seminario,Posgrados y Educacion Continua,En línea,12 horas,Mensual,o
Norma ISO 9001:2015,Seminario,Posgrados y Educacion Continua,En línea,12 horas,Mensual,o
Planeación de Proyectos de Construcción,Seminario,Posgrados y Educacion Continua,En línea,50 horas,Mensual,o
Proyecto de Vida Plena,Seminario,Posgrados y Educacion Continua,En línea,15 horas,Mensual,o
Psicología Positiva,Seminario,Posgrados y Educacion Continua,En línea,12 horas,Mensual,o
Supply Chain Management,Seminario,Posgrados y Educacion Continua,En línea,15 horas,Mensual,o
Transformación Digital para la Toma de Decisiones,Seminario,Posgrados y Educacion Continua,En línea,30 horas,Mensual,o
Transición a una Cultura Organizacional Positiva,Seminario,Posgrados y Educacion Continua,En línea,30 horas,Mensual,o
Inteligencia Emocional,Taller,Posgrados y Educacion Continua,Aula Virtual,24 horas,Variable,o
Liderazgo y Empowerment,Taller,Posgrados y Educacion Continua,Aula Virtual,24 horas,Variable,o
Negociación y Manejo de Conflictos,Taller,Posgrados y Educacion Continua,Aula Virtual,24 horas,Variable,o
Preparación para el Examen de Certificación PMP®,Taller,Posgrados y Educacion Continua,Aula Virtual,35 horas,Variable,o
Coding Bootcamp,Bootcamp,Posgrados y Educacion Continua,En línea,480 horas,Variable,o
Data Analytics Bootcamp,Bootcamp,Posgrados y Educacion Continua,En línea,700 horas,Variable,o
ADN del Innovador (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Accountability Skills (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable,o
Administración de Costos,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable,o
Administración de Inventarios,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable,o
Agronomía para no Agrónomos,Curso,Posgrados y Educacion Continua,Aula Virtual,48 horas,Variable,o
Análisis de Datos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable,o
Aplicaciones Web para Ciencia de Datos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,12 horas,Variable,o
Aplicación de la Legislación Ambiental,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable,o
Aspectos Básicos de Ley General de Transparencia,Curso,Posgrados y Educacion Continua,Aula Virtual,32 horas,Variable,o
Automatic ML (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,12 horas,Variable,o
Bioequivalencia: Aspectos Científicos y Regulatorios,Curso,Posgrados y Educacion Continua,Aula Virtual,30 horas,Variable,o
Bioestadística Aplicada a Investigación Clínica e Industria,Curso,Posgrados y Educacion Continua,Aula Virtual,24 horas,Variable,o
Brand Management,Curso,Posgrados y Educacion Continua,Live,80 horas,Variable,o
Colaboración Efectiva (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable,o
Colaboración Organizacional (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas ,Variable,o
Comunicación Digital y Social Media,Curso,Posgrados y Educacion Continua,Live,90 horas,Variable,o
Conceptos Fundamentales de Ciencia de Datos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Conducta y Comunicación Financiera (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable,o
Core Strategic Marketing (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable,o
Core Tools: Herramientas para la Manufactura,Curso,Posgrados y Educacion Continua,Live,50 horas,Variable,o
Cultura hacia la Innovación (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Customer Intelligence Essentials,Curso,Posgrados y Educacion Continua,Aula Virtual,64 horas,Variable,o
Deep Learning y Reinforcement Learning (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Desarrollo de Supervisiones que Transforman,Curso,Posgrados y Educacion Continua,Aula Virtual,48 horas,Variable,o
Desarrollo de Talento (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable,o
Design Thinking Workshop,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable,o
Digital Consumer (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable,o
Digital Marketing Analytics (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Digital Marketing Strategy (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable,o
Digital Marketing Tactics (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,52 horas,Variable,o
Diseñando Experiencias de Servicio Wow,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable,o
Diseño de Interfaces Visuales de Datos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable,o
Educación Digital de Calidad para Educación Superior,Curso,Posgrados y Educacion Continua,En línea,21 horas,Variable,o
Emprendimiento Digital Innovador,Curso,Posgrados y Educacion Continua,Aula Virtual,68 horas,Variable,o
Enfoque Estratégico (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Engagement (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable,o
Estrategia Organizacional (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Estrategías para una Comunicación Efectiva,Curso,Posgrados y Educacion Continua,Aula Virtual,24 horas,Variable,o
Evaluación de los Estados Financieros; Inversión y Financiamiento (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable,o
Excel Avanzado para negocios,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable,o
Excel para Negocios,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable,o
Extracción; Procesamiento y Manipulación de Datos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Feminismo: Historia; Teoría y Práctica. Por un Mundo sin Violencia de Género,Curso,Posgrados y Educacion Continua,Aula Virtual,12 horas,Variable,o
Financial Planning and Risks (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Financial System Vision (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Finanzas para Recursos Humanos,Curso,Posgrados y Educacion Continua,Aula Virtual,24 horas,Variable,o
Finanzas para no Financieros,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable,o
Fundamentos de Ciencia de Datos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable,o
Fundamentos de Estadística para Ciencia de Datos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,12 horas ,Variable,o
Gestión de Cartera Comercial (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable,o
Gestión de la Innovación (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Gestión del Cambio (TLG),Curso,Posgrados y Educacion Continua,Live,80 horas,Variable,o
Gobernanza e innovación para la gestión local,Curso,Posgrados y Educacion Continua,Aula Virtual,42 horas,Variable,o
Historia del Arte Islámico,Curso,Posgrados y Educacion Continua,Aula Virtual,36 horas,Variable,o
Historia del Arte Mexicano. Del Muralismo a la Postmodernidad,Curso,Posgrados y Educacion Continua,Aula Virtual,36 horas,Variable,o
Historia del Arte: Arte Conceptual y Postmodernidad,Curso,Posgrados y Educacion Continua,Aula Virtual,36 horas,Variable,o
Historia del Arte: Historia del Arte Antiguo,Curso,Posgrados y Educacion Continua,Aula Virtual,36 horas,Variable,o
Historia del Arte: Historia del Arte Medieval,Curso,Posgrados y Educacion Continua,Aula Virtual,36 horas,Variable,o
Historia del Arte: La Modernidad en el Arte,Curso,Posgrados y Educacion Continua,Aula Virtual,36 horas,Variable,o
Inteligencia Comercial (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable,o
Inteligencia Emocional y Financiera,Curso,Posgrados y Educacion Continua,Aula Virtual,30 horas,Variable,o
Interfaces Visuales de Datos Interacticas (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable,o
Inversión y Financiamiento (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,52 horas,Variable,o
Invirtiendo en la Bolsa,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable,o
Ley Anti Lavado de Dinero y Manejo de Efectivo,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable,o
Liderazgo Positivo (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable,o
Liderazgo para la Innovación,Curso,Posgrados y Educacion Continua,Live,80 horas,Variable,o
Liderazgo y Evaluación Comercial (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Machine Learning (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,62 horas,Variable,o
Machine Learning para Big Data (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable,o
Marketing Metrics (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Marketing Mix (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable,o
Marketing for all (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Medicamentos Biotecnológicos y Biocomparabilidad,Curso,Posgrados y Educacion Continua,Aula Virtual,48 horas,Variable,o
Modelación Lineal de Datos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,12 horas,Variable,o
Organizaciones Enfocadas en el Talento (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable,o
Organizational Engagement (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable,o
Organizational Wellbeing (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Pensamiento Estratégico (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Pensamiento de Futuros: Diseñando el Futuro de la Organización,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable,o
Personal Wellbeing (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Plataformas de Visualización en Python (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Política educativa: sus desafíos urgentes en México,Curso,Posgrados y Educacion Continua,Aula Virtual,50 horas,Variable,o
Preparación a la Certificación Disciplined Agile® Scrum Master (DASM),Curso,Posgrados y Educacion Continua,Aula Virtual,32 horas,Variable,o
Preparación para el Examen de Certificación AMIB,Curso,Posgrados y Educacion Continua,Aula Virtual,25 horas,Variable,o
Preparación para la Certificación de AWS Cloud Practitioner,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable,o
Procesamiento y Manejo de Datos con Python (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Procesamiento y Manipulación de Datos con Python (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable,o
Programación con Python,Curso,Posgrados y Educacion Continua,Aula Virtual,30 horas,Variable,o
Protección de Datos Personales,Curso,Posgrados y Educacion Continua,Aula Virtual,35 horas,Variable,o
Sensibilidad de Modelos Cuantitativos (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Storytelling + Presentaciones Contundentes,Curso,Posgrados y Educacion Continua,Aula Virtual,40 horas,Variable,o
TPM Hands On Mantenimiento Autónomo y Planeado,Curso,Posgrados y Educacion Continua,Aula Virtual,56 horas,Variable,o
Talent Management (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,42 horas,Variable,o
Team Wellbeing (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Tecnologías para Internet de las Cosas (IoT),Curso,Posgrados y Educacion Continua,Aula Virtual,48 horas,Variable,o
Toxicología y Bioseguridad para Salud y Biotecnología,Curso,Posgrados y Educacion Continua,Aula Virtual,36 horas,Variable,o
Urbanismo Social para Construir Ciudades Humanas,Curso,Posgrados y Educacion Continua,Presencial en Campus Monterrey,24 horas,Variable,o
Visión Comercial a Futuro (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Visión Contable (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable,o
Visión Financiera (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable,o
Visión Financiera Corporativa (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Visión Financiera Estratégica (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,12 horas,Variable,o
Visión de Entorno Económico (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,32 horas,Variable,o
Visión de Riesgo y Suntentabilidad (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,22 horas,Variable,o
Visión de Ética Financiera (TLG),Curso,Posgrados y Educacion Continua,Learning Gate,12 horas,Variable,o
Citizen Data Scientist (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,92 horas,Variable,o
Data Scientist (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,232 horas,Variable,o
Digital Marketing Strategist (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,142 horas,Variable,o
Especialista en Finanzas (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,172 horas,Variable,o
High Impact Manager (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,172 horas,Variable,o
Marketing Starter (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,122 horas,Variable,o
Potential Leader (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,172 horas,Variable,o
Profesional Financiero (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,152 horas,Variable,o
Senior Data Scientist (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,72 horas,Variable,o
Senior Leader (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,172 horas,Variable,o
Vendedor de Alto Impacto (TLG),Trayectoria flexible,Posgrados y Educacion Continua,Learning Gate,122 horas,Variable,o
