Maestría,Escuela,Universidad,Impartido en,Duración,Periodo,,,,,,,,,,,
Maestría en Administración de Negocios Globales (MDE),EGADE Business School,Tecnológico de Monterrey,Campus Santa Fe,2 años,Semestral,,,,,,,,,,,
Maestría en Analítica de Negocios (MBD),EGADE Business School,Tecnológico de Monterrey,Campus Monterrey ,2 años,Trimestral ,,,,,,,,,,,
Maestría en Finanzas (MAF-V),EGADE Business School,Tecnológico de Monterrey,En línea ,2 años,Trimestral ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
